x,y,z,action
0.036617681,0.087534697,-0.003219862,jalan
0.035764405,0.098603003,-0.00354606,jalan
0.039598101,0.111716647,-0.004455217,jalan
0.049511322,0.121106679,-0.006048254,jalan
0.060904626,0.140089911,-0.008633777,jalan
0.053111525,0.153786791,-0.008278444,jalan
0.02849685,0.127327652,-0.003659748,jalan
0.047788873,0.105541521,-0.005077972,jalan
0.018312356,0.079787736,-0.001466024,jalan
0.009999656,0.070896606,-0.000710766,jalan
0.006167948,0.049666095,-0.000306722,jalan
0.002798835,0.029787589,-8.34079E-05,jalan
0.009133092,0.01786886,-0.000163231,jalan
0.017603958,0.003126278,-5.50437E-05,jalan
0.025162047,0.005795379,-0.000145872,jalan
0.023015994,0.010884444,-0.000250598,jalan
0.028113088,0.019088518,-0.000536947,jalan
0.027690896,0.028517931,-0.000790312,jalan
0.018207135,0.028126028,-0.000512382,jalan
0.012822263,0.027583935,-0.000353852,jalan
0.013976583,0.031855262,-0.000445497,jalan
0.007985953,0.033596366,-0.000268459,jalan
-0.001050898,0.038968512,4.09831E-05,jalan
-0.008269687,0.03763407,0.000311453,jalan
-0.006505826,0.037450902,0.000243825,jalan
0.001209535,0.033571399,-4.06287E-05,jalan
0.007308404,0.028027576,-0.000204923,jalan
0.007783517,0.032146035,-0.000250346,jalan
0.008584466,0.032178644,-0.00027639,jalan
0.013506267,0.027922665,-0.000377313,jalan
0.01596943,0.0376374,-0.000601551,jalan
0.016647168,0.043024962,-0.000717007,jalan
0.016850221,0.04574053,-0.000771656,jalan
0.013882869,0.045842676,-0.000637159,jalan
0.015817542,0.054282996,-0.00086,jalan
0.005535824,0.06012927,-0.000333474,jalan
-0.001554176,0.069068164,0.000107601,jalan
-0.00561269,0.083090194,0.000467985,jalan
-0.004105804,0.092005942,0.000379371,jalan
-0.009752294,0.097912772,0.000959531,jalan
-0.011701799,0.101574755,0.00119487,jalan
-0.000938997,0.100383612,9.47385E-05,jalan
0.002602586,0.106228588,-0.000278043,jalan
0.003880925,0.110507845,-0.000431519,jalan
0.00700653,0.102612366,-0.00072279,jalan
0.009580179,0.091633552,-0.000881616,jalan
0.01348787,0.079169947,-0.001071295,jalan
0.013892023,0.061177677,-0.000851559,jalan
0.01473452,0.053500772,-0.000789525,jalan
0.015111217,0.044785938,-0.000677527,jalan
0.022717105,0.038266684,-0.000870171,jalan
-0.010318847,0.014522669,0.000149881,ready
